course1,course2,risk,rr
none,none,0.57 (0.52-0.60),1.00 (1.00-1.00)
amoxicillin5,none,0.81 (0.62-0.97),1.43 (1.12-1.74)
amoxicillin5,clarithromycin9,0.81 (0.62-0.97),1.02 (0.64-2.02)
amoxicillin5,ciprofloxacin7,0.81 (0.62-0.97),0.76 (0.56-0.98)
amoxicillin5,nitrofurantoin10,0.81 (0.62-0.97),1.42 (1.00-2.10)
amoxicillin5,cephalexin5,0.81 (0.62-0.97),0.87 (0.65-1.11)
amoxicillin5,cefprozil13,0.81 (0.62-0.97),0.62 (0.31-1.24)
amoxicillin5,cefixime11,0.81 (0.62-0.97),0.24 (0.12-0.46)
amoxicillin5,cloxacillin14,0.81 (0.62-0.97),0.58 (0.35-1.05)
amoxicillin5,azithromycin9,0.81 (0.62-0.97),0.61 (0.40-0.91)
amoxicillin5,amoxiclav7,0.81 (0.62-0.97),0.59 (0.42-0.81)
amoxicillin5,amoxicillin5,0.81 (0.62-0.97),1.00 (1.00-1.00)
amoxicillin5,clarithromycin10,0.81 (0.62-0.97),0.99 (0.60-2.02)
amoxicillin5,ciprofloxacin8,0.81 (0.62-0.97),0.72 (0.54-0.94)
amoxicillin5,nitrofurantoin11,0.81 (0.62-0.97),1.41 (0.99-2.11)
amoxicillin5,cephalexin6,0.81 (0.62-0.97),0.85 (0.64-1.09)
amoxicillin5,cefprozil14,0.81 (0.62-0.97),0.60 (0.30-1.22)
amoxicillin5,cefixime12,0.81 (0.62-0.97),0.22 (0.10-0.43)
amoxicillin5,cotrimoxazole5,0.81 (0.62-0.97),1.01 (0.76-1.33)
amoxicillin5,azithromycin10,0.81 (0.62-0.97),0.59 (0.38-0.88)
amoxicillin5,amoxiclav8,0.81 (0.62-0.97),0.56 (0.39-0.77)
amoxicillin5,amoxicillin6,0.81 (0.62-0.97),0.99 (0.98-1.00)
amoxicillin5,clarithromycin11,0.81 (0.62-0.97),0.97 (0.57-2.02)
amoxicillin5,ciprofloxacin9,0.81 (0.62-0.97),0.70 (0.51-0.90)
amoxicillin5,nitrofurantoin12,0.81 (0.62-0.97),1.40 (0.98-2.12)
amoxicillin5,cephalexin7,0.81 (0.62-0.97),0.77 (0.58-1.00)
amoxicillin5,cefuroxime5,0.81 (0.62-0.97),0.71 (0.50-1.05)
amoxicillin5,cefixime13,0.81 (0.62-0.97),0.20 (0.10-0.41)
amoxicillin5,cotrimoxazole6,0.81 (0.62-0.97),1.01 (0.76-1.32)
amoxicillin5,azithromycin11,0.81 (0.62-0.97),0.57 (0.36-0.86)
amoxicillin5,amoxiclav9,0.81 (0.62-0.97),0.53 (0.37-0.74)
amoxicillin5,amoxicillin7,0.81 (0.62-0.97),0.93 (0.91-0.97)
amoxicillin5,clarithromycin12,0.81 (0.62-0.97),0.94 (0.54-2.00)
amoxicillin5,ciprofloxacin10,0.81 (0.62-0.97),0.67 (0.50-0.87)
amoxicillin5,nitrofurantoin13,0.81 (0.62-0.97),1.40 (0.97-2.12)
amoxicillin5,cephalexin8,0.81 (0.62-0.97),0.74 (0.55-0.95)
amoxicillin5,cefuroxime6,0.81 (0.62-0.97),0.68 (0.48-1.02)
amoxicillin5,cefixime14,0.81 (0.62-0.97),0.19 (0.09-0.39)
amoxicillin5,cotrimoxazole7,0.81 (0.62-0.97),0.96 (0.71-1.27)
amoxicillin5,azithromycin12,0.81 (0.62-0.97),0.56 (0.35-0.84)
amoxicillin5,amoxiclav10,0.81 (0.62-0.97),0.51 (0.35-0.71)
amoxicillin5,amoxicillin8,0.81 (0.62-0.97),0.91 (0.87-0.95)
amoxicillin5,clarithromycin13,0.81 (0.62-0.97),0.92 (0.52-1.98)
amoxicillin5,ciprofloxacin11,0.81 (0.62-0.97),0.65 (0.48-0.85)
amoxicillin5,nitrofurantoin14,0.81 (0.62-0.97),1.39 (0.96-2.13)
amoxicillin5,cephalexin9,0.81 (0.62-0.97),0.70 (0.52-0.91)
amoxicillin5,cefuroxime7,0.81 (0.62-0.97),0.58 (0.39-0.90)
amoxicillin5,cefprozil5,0.81 (0.62-0.97),0.83 (0.50-1.37)
amoxicillin5,cotrimoxazole8,0.81 (0.62-0.97),0.93 (0.69-1.25)
amoxicillin5,azithromycin13,0.81 (0.62-0.97),0.54 (0.34-0.82)
amoxicillin5,amoxiclav11,0.81 (0.62-0.97),0.48 (0.34-0.68)
amoxicillin5,amoxicillin9,0.81 (0.62-0.97),0.88 (0.83-0.94)
amoxicillin5,clarithromycin14,0.81 (0.62-0.97),0.89 (0.50-1.95)
amoxicillin5,ciprofloxacin12,0.81 (0.62-0.97),0.63 (0.46-0.82)
amoxicillin5,norfloxacin5,0.81 (0.62-0.97),1.34 (0.94-2.11)
amoxicillin5,cephalexin10,0.81 (0.62-0.97),0.67 (0.49-0.88)
amoxicillin5,cefuroxime8,0.81 (0.62-0.97),0.54 (0.35-0.85)
amoxicillin5,cefprozil6,0.81 (0.62-0.97),0.83 (0.50-1.36)
amoxicillin5,cotrimoxazole9,0.81 (0.62-0.97),0.92 (0.67-1.23)
amoxicillin5,azithromycin14,0.81 (0.62-0.97),0.53 (0.33-0.81)
amoxicillin5,amoxiclav12,0.81 (0.62-0.97),0.46 (0.32-0.66)
amoxicillin5,amoxicillin10,0.81 (0.62-0.97),0.86 (0.80-0.93)
amoxicillin5,clindamycin5,0.81 (0.62-0.97),0.43 (0.28-0.61)
amoxicillin5,ciprofloxacin13,0.81 (0.62-0.97),0.61 (0.45-0.80)
amoxicillin5,norfloxacin6,0.81 (0.62-0.97),1.33 (0.94-2.08)
amoxicillin5,cephalexin11,0.81 (0.62-0.97),0.64 (0.47-0.84)
amoxicillin5,cefuroxime9,0.81 (0.62-0.97),0.49 (0.32-0.80)
